Year,Month,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,Max24hrPrecip
1945,Oct,49,97,62,65,57,72.1,64.5,0.46,0.24
1945,Nov,39,91,56,58,46.1,68.1,56.8,0.18,0.12
1945,Dec,36,82,57,58,45.3,64,54.6,4.45,1.86
1945,Jan,36,74,52,58,43.6,63.4,53.5,0.15,0.15
1945,Feb,38,77,56,53,46.5,63.1,54.8,2.74,0.91
1945,Mar,35,85,53,52,43.9,62,53,3.21,0.55
1945,Apr,42,75,56,58,48.4,65.5,57,0,0
1946,Oct,43,86,58,63,52,71.2,61.6,0.8,0.44
1946,Nov,42,78,54,56,47.1,66.4,56.8,7.92,2.67
1946,Dec,35,71,56,54,45.9,62.8,54.3,2.91,1.78
1946,Jan,34,76,51,56,43.1,65.6,54.3,0.25,0.08
1946,Feb,36,72,49,54,41.7,61.3,51.5,0.53,0.45
1946,Mar,41,80,51,52,46.9,63.4,55.4,3.29,0.86
1946,Apr,46,83,57,62,51,66.2,58.8,0.65,0.33
1947,Oct,49,81,60,67,54.5,72.7,63.5,0.08,0.05
1947,Nov,38,72,54,60,46,67,56.4,0.03,0.02
1947,Dec,35,86,53,55,44,66.6,55.2,0.98,0.58
1947,Jan,31,74,50,55,39.5,62.9,51.1,0.09,0.09
1947,Feb,42,80,54,58,47.3,66.5,56.9,0.44,0.4
1947,Mar,43,85,56,60,49.9,67.5,58.8,1.02,0.36
1947,Apr,44,90,58,61,51.6,69.1,60.3,0.23,0.18
1948,Oct,49,83,60,62,55.3,70.1,62.7,0.03,0.02
1948,Nov,40,80,54,61,46.6,72.1,59.4,0,0
1948,Dec,35,79,49,53,42.9,62.5,52.7,2.22,0.71
1948,Jan,32,83,51,56,44,65.1,54.4,0.15,0.15
1948,Feb,34,81,52,56,42.6,62.9,52.7,1,0.85
1948,Mar,40,73,52,54,44.8,62.7,53.8,2.24,0.7
1948,Apr,43,85,59,60,50.6,67.3,58.7,0.63,0.33
1949,Oct,45,91,62,62,53.8,71.5,62.6,0,0
1949,Nov,43,92,60,61,52.3,73.7,63,1.46,0.91
1949,Dec,35,79,52,56,43.3,63.4,53.4,2.21,1.03
1949,Jan,27,69,47,48,38.3,55.7,47,2.3,0.71
1949,Feb,34,72,52,53,43.2,59.5,51.4,1.55,0.65
1949,Mar,42,65,52,55,46.6,61.9,54.3,1.44,0.51
1949,Apr,45,78,58,60,52.9,67.7,60.3,0.01,0.01
1950,Oct,51,97,66,66,56.5,73.5,65,0.12,0.12
1950,Nov,43,94,60,56,52.5,70.2,61.4,0.94,0.75
1950,Dec,40,84,57,61,49.2,69.1,59.1,0.01,0.01
1950,Jan,33,64,48,48,40,55.8,47.8,2.53,1.07
1950,Feb,37,70,51,54,45.7,60.6,53.2,2.04,1.53
1950,Mar,41,85,54,56,47.2,64.3,55.7,0.47,0.47
1950,Apr,45,78,58,60,52.6,66.9,59.7,0.41,0.21
1951,Oct,49,96,61,66,56.7,74.9,65.8,0.23,0.19
1951,Nov,43,86,57,62,51.1,70.8,60.8,0.71,0.38
1951,Dec,33,71,55,54,45.3,62.6,53.9,4.63,2.84
1951,Jan,38,86,54,55,44.9,63.5,54.2,2.82,0.99
1951,Feb,38,73,53,54,44.8,62.4,53.6,0.54,0.48
1951,Mar,38,86,55,54,46.9,66.8,57.3,0.38,0.32
1951,Apr,44,68,57,58,52.5,64.3,58.6,1.37,0.48
1952,Oct,52,76,60,62,56.9,69.4,63.2,0,0
1952,Nov,42,89,60,58,49,67.3,58.2,2.76,1.43
1952,Dec,39,83,53,55,46.5,64.3,55.4,2.28,0.7
1952,Jan,34,77,51,55,43.5,61,52.3,7.23,1.61
1952,Feb,41,82,54,56,47.6,66.3,57,0.72,0.72
1952,Mar,38,87,55,54,45.9,62.4,54.1,4.33,1.75
1952,Apr,47,72,56,60,52,64.7,58.5,1.21,0.7
1953,Oct,48,101,64,67,54.9,75.5,65.2,0,0
1953,Nov,42,90,60,59,51.9,70.8,61.4,1.23,1.05
1953,Dec,36,86,55,61,45.3,68,56.6,0.06,0.06
1953,Jan,42,86,57,55,48.8,68.8,58.8,1.13,0.5
1953,Feb,36,86,54,52,45.9,69,57.4,0.1,0.09
1953,Mar,38,80,54,57,47.6,65.3,56.6,0.44,0.28
1953,Apr,43,67,56,58,50.9,63.5,57.2,1.78,0.87
1954,Oct,50,84,58,65,54.5,70.6,62.6,0,0
1954,Nov,43,90,58,57,52.5,72.6,62.5,1.24,0.74
1954,Dec,37,83,56,60,47.2,68,57.6,0.74,0.37
1954,Jan,40,86,54,52,45,62,53.5,4.78,1.37
1954,Feb,43,91,56,57,49.9,71.6,60.8,3.36,3.28
1954,Mar,42,70,55,57,48.4,63,55.7,2.6,0.79
1954,Apr,45,69,57,61,53.3,64.7,59,0.11,0.09
1955,Oct,52,88,59,61,55.5,68.9,62.2,0,0
1955,Nov,44,83,59,59,50.7,68.3,59.5,1.35,0.65
1955,Dec,40,78,56,53,49.5,61.6,55.6,0.94,0.3
1955,Jan,37,80,49,50,42.8,61.1,51.9,4.12,0.98
1955,Feb,38,81,55,57,44.9,65.5,55.2,0.88,0.31
1955,Mar,42,87,56,60,49.5,68.9,59.2,0.15,0.14
1955,Apr,44,83,59,60,50.1,67.6,58.9,2.2,0.9
1956,Oct,46,80,67,64,57.3,71.9,64.5,0.01,0.01
1956,Nov,46,95,64,63,52.9,78.8,65.8,0,0
1956,Dec,39,82,53,59,47.2,70.6,58.8,0.49,0.49
1956,Jan,41,75,53,55,47,62.2,54.6,8.07,4.56
