Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,48,83,59,63,54.8,69.6,62.2,0.11,0,0.1,0
2014,49,89,63,62,55.5,69.8,62.6,0.26,0,0.12,0
2013,51,79,59,62,56,68.3,62.1,0.06,0,0.06,0
2012,45,82,58,59,53,66.4,59.7,1.51,0,0.44,0
2011,44,83,60,57,55.4,68.1,61.8,0,0,0,0
2010,46,79,57,59,52.3,64.6,58.5,1.25,0,0.56,0
2009,46,95,63,60,52.7,67.6,60.2,0,0,0,0
2008,49,96,70,58,54.9,70.4,62.7,0.03,0,0.03,0
2007,47,74,58,57,53.9,66.3,60.1,0.36,0,0.32,0
2006,47,77,58,61,53.4,65.4,59.4,1.63,0,0.86,0
2005,48,81,57,62,52.6,67.2,59.9,0.9,0,0.84,0
2004,49,93,61,62,54.7,69.5,62.1,0.03,0,0.03,0
2003,46,83,57,60,51.3,65.3,58.3,0.49,0,0.46,0
2002,49,72,57,58,53,64.8,58.9,0.02,,0.02,
2001,43,81,58,57,50.9,63.2,57.1,1.1,,0.54,
2000,50,80,59,60,54.8,67.1,61,1.88,,1.32,
1999,43,87,60,56,51.5,65.7,58.6,2.23,,1.35,
1998,42,74,57,56,50.5,64,57.2,1,,0.74,
1997,48,85,61,63,54.2,69.3,61.8,0,,0,
1996,50,94,65,65,55.3,73,64.2,0.42,0,0.31,0
1995,46,82,58,56,53,68,60.5,0.74,0,0.69,0
1994,44,83,57,60,53.7,66.7,60.2,0.44,0,0.19,0
1993,52,79,61,64,55.2,70.3,62.8,0,0,0,0
1992,52,81,62,67,58.7,72.5,65.6,0.18,0,0.18,0
1991,50,82,59,60,53.8,68.1,61,0,0,0,0
1990,51,79,59,60,56.2,68.8,62.5,0.34,0,0.16,0
1989,48,102,70,62,57,72.4,64.7,0,0,0,0
1988,48,83,59,59,53.8,68.7,61.2,1.14,0,0.4,0
1987,48,90,60,63,55,71.2,63.1,0.02,0,0.02,0
1986,50,86,58,61,54.3,69.1,61.7,0.3,0,0.18,0
1985,50,90,61,60,53.9,67.5,60.7,0,0,0,0
1984,46,83,58,62,53.8,69,61.4,1.16,0,0.87,0
1983,46,77,58,58,52.2,66.2,59.2,3.18,0,0.7,0
1982,43,83,61,58,53,67.3,60.1,1.61,0,0.98,0
1981,49,92,61,58,54.5,67.8,61.2,0.46,0,0.24,0
1980,49,85,57,58,53.4,67.8,60.6,0.17,0,0.13,0
1979,49,74,57,62,53.1,67.3,60.2,0,0,0,0
1978,46,70,58,60,53,65.3,59.1,1.23,0,0.69,0
1977,48,77,59,60,53.8,68.3,61.1,0,0,0,0
1976,44,78,56,54,50.4,65.5,58,0.77,0,0.31,0
1975,45,69,55,53,50.4,62.9,56.7,0.74,0,0.28,0
1974,46,78,56,61,51.8,67.5,59.6,0.14,0,0.12,0
1973,48,80,56,61,52.3,67.8,60,0,0,0,0
1972,47,80,57,61,53.7,69.2,61.5,0,0,0,0
1971,45,91,56,59,50.9,66.7,58.8,0.68,0,0.67,0
1970,45,82,58,60,51.2,67.4,59.3,0,0,0,0
1969,47,81,59,60,54.6,66,60.3,0.38,0,0.24,0
1968,49,90,59,62,53.9,69.3,61.6,0.49,0,0.46,0
1967,45,70,54,56,49.1,62.9,56,2.68,0,0.78,0
1966,50,95,60,64,54.3,69.1,61.7,0.01,0,0.01,0
1965,43,79,59,54,51.7,65.4,58.6,4.52,0,1.2,0
1964,44,93,57,59,50.4,65.9,58.1,0.2,0,0.08,0
1963,44,74,56,60,49.9,64.6,57.3,1.41,0,0.41,0
1962,49,89,57,61,52.9,68,60.5,0,0,0,0
1961,47,77,58,62,52.2,67,59.6,0.02,0,0.02,0
1960,46,88,60,60,52.6,69.8,61.2,2,0,1.26,0
1959,54,83,62,68,57.7,73.1,65.4,0.39,0,0.36,0
1958,47,87,63,60,55.7,73.4,64.5,2.04,0,0.67,0
1957,45,78,57,58,53.3,66.7,60,1.33,0,0.75,0
1956,43,73,58,53,52.2,65.1,58.6,2.07,0,1.11,0
1955,44,83,59,60,50.1,67.6,58.9,2.2,0,0.9,0
1954,45,69,57,61,53.3,64.7,59,0.11,0,0.09,0
1953,43,67,56,58,50.9,63.5,57.2,1.78,0,0.87,0
1952,47,72,56,60,52,64.7,58.5,1.21,0,0.7,0
1951,44,68,57,58,52.5,64.3,58.6,1.37,0,0.48,0
1950,45,78,58,60,52.6,66.9,59.7,0.41,0,0.21,0
1949,45,78,58,60,52.9,67.7,60.3,0.01,0,0.01,0
1948,43,85,59,60,50.6,67.3,58.7,0.63,0,0.33,0
1947,44,90,58,61,51.6,69.1,60.3,0.23,0,0.18,0
1946,46,83,57,62,51,66.2,58.8,0.65,0,0.33,0
1945,42,75,56,58,48.4,65.5,57,0,0,0,0
