Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,39,80,57,57,48.6,66.1,57.3,1.08,0,0.46,0
2014,40,79,60,57,51.5,64.9,58.2,4.04,0,1.49,0
2013,39,85,58,57,48.6,69.4,59,0.3,0,0.26,0
2012,41,68,61,55,50.8,62.3,56.6,2.82,0,1.42,0
2011,40,73,52,55,45.8,64.2,55,0.67,0,0.65,0
2010,39,83,67,56,51.3,65,58.2,8.83,0,2.23,0
2009,39,76,56,53,48.8,63.6,56.2,2.05,0,0.99,0
2008,40,77,58,53,48.1,61.6,54.9,2.51,0,1.89,0
2007,42,76,57,55,48.2,63.5,55.8,1.59,0,0.75,0
2006,39,79,54,55,47.5,67.1,57.3,0.61,0,0.2,0
2005,42,79,59,60,51.2,66.9,59,0.95,0,0.67,0
2004,41,82,55,52,48.3,66.3,57.3,6.49,0,4.53,0
2003,39,78,58,58,48.6,64.9,56.7,1.14,0,0.78,0
2002,43,76,55,58,48.9,63.7,56.3,1.77,,1.03,
2001,42,80,55,54,47.7,63.5,55.6,1.25,,0.32,
2000,44,80,57,58,49.3,67.5,58.4,0,,0,
1999,44,83,55,59,48.6,69.8,59.2,0,,0,
1998,37,83,55,54,45.8,65.3,55.5,0.74,,0.47,
1997,39,78,55,58,47.5,66.3,56.9,3.93,,1.51,
1996,45,76,58,57,50.5,65.8,58.2,4.74,0,1.5,0
1995,45,74,58,56,51.1,66.6,58.9,2.16,0,0.82,0
1994,42,77,60,59,49,66,57.5,1.05,0,0.57,0
1993,41,84,54,59,48,68.8,58.4,0.97,0,0.46,0
1992,40,75,53,58,47.3,64.3,55.8,4.16,0,1.71,0
1991,43,80,58,57,50.2,67.1,58.7,2.86,0,1.07,0
1990,35,84,58,51,46.6,66.9,56.8,0.03,0,0.03,0
1989,44,85,57,62,49.5,71.5,60.5,0,0,0,0
1988,38,81,61,50,48,65,56.5,2.52,0,0.76,0
1987,34,75,55,53,46,61.7,53.9,1.79,0,0.7,0
1986,44,79,55,62,48.7,68.1,58.4,0.3,0,0.29,0
1985,39,83,57,55,49,69.2,59.1,0.44,0,0.35,0
1984,41,75,57,55,48.2,62.2,55.2,4.21,0,1.62,0
1983,44,75,57,60,50.1,64.1,57.1,2.11,0,0.7,0
1982,37,72,55,60,47.7,64.9,56.3,0.66,0,0.64,0
1981,46,83,56,60,51,67.7,59.4,1.52,0,1.5,0
1980,43,90,58,60,49.9,70.4,60.2,1.57,0,1.27,0
1979,41,86,56,61,50,71.2,60.6,0.42,0,0.31,0
1978,33,80,54,53,45.1,63.5,54.3,0.83,0,0.61,0
1977,45,80,60,60,54.6,67.2,60.9,3.92,0,1.57,0
1976,41,85,52,57,48.2,71.9,60,0.95,0,0.81,0
1975,40,85,55,57,47.3,68,57.6,0.1,0,0.1,0
1974,35,78,56,56,45.9,65.7,55.8,3.76,0,1.72,0
1973,42,85,54,56,48.8,67.8,58.3,0.45,0,0.3,0
1972,37,80,57,49,47.9,65.7,56.8,1.88,0,0.73,0
1971,39,70,57,50,44.8,60.6,52.7,5.7,0,2.25,0
1970,43,77,56,56,48.9,63.2,56,4.12,0,2.23,0
1969,39,82,61,60,51.1,66.4,58.7,0.01,0,0.01,0
1968,32,79,55,51,45.5,63,54.3,1.42,0,0.8,0
1967,38,76,55,49,46.2,62,54.1,1.05,0,0.54,0
1966,40,76,58,58,48.6,66.4,57.5,3.67,0,1.49,0
1965,38,83,56,51,46.3,63.9,55.1,3.25,0,1.96,0
1964,39,74,57,54,48.1,62.2,55.1,1.95,0,0.71,0
1963,40,85,55,61,45.9,69.9,57.9,0,0,0,0
1962,36,74,57,59,49,64.2,56.6,0.01,0,0.01,0
1961,40,76,55,53,45.9,62.2,54,1.07,0,0.58,0
1960,38,82,50,56,44.3,65.4,54.9,0.06,0,0.05,0
1959,42,88,58,58,49.8,69.4,59.6,1.11,0,0.79,0
1958,43,94,60,62,51.6,73.2,62.4,0.01,0,0.01,0
1957,45,85,59,60,50.5,71,60.7,2.1,0,1.05,0
1956,39,82,53,59,47.2,70.6,58.8,0.49,0,0.49,0
1955,40,78,56,53,49.5,61.6,55.6,0.94,0,0.3,0
1954,37,83,56,60,47.2,68,57.6,0.74,0,0.37,0
1953,36,86,55,61,45.3,68,56.6,0.06,0,0.06,0
1952,39,83,53,55,46.5,64.3,55.4,2.28,0,0.7,0
1951,33,71,55,54,45.3,62.6,53.9,4.63,0,2.84,0
1950,40,84,57,61,49.2,69.1,59.1,0.01,0,0.01,0
1949,35,79,52,56,43.3,63.4,53.4,2.21,0,1.03,0
1948,35,79,49,53,42.9,62.5,52.7,2.22,0,0.71,0
1947,35,86,53,55,44,66.6,55.2,0.98,0,0.58,0
1946,35,71,56,54,45.9,62.8,54.3,2.91,0,1.78,0
1945,36,82,57,58,45.3,64,54.6,4.45,0,1.86,0
