Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,45,84,59,61,53.4,68.7,61,0.27,0,0.27,0
2014,46,78,57,60,52.7,66.8,59.7,2.79,0,1.56,0
2013,39,80,56,54,47.5,64.8,56.1,0.2,0,0.13,0
2012,41,78,55,57,48.8,65.3,57.1,0.12,0,0.09,0
2011,41,80,55,54,47.3,63.3,55.3,1.47,0,0.5,0
2010,41,80,55,56,50.3,64.7,57.5,3.23,0,1.39,0
2009,41,82,57,54,48.8,63.7,56.2,3.41,0,1.12,0
2008,43,82,57,57,49.1,64.4,56.8,2.17,0,0.75,0
2007,43,87,56,58,49.8,65.1,57.5,0.82,0,0.35,0
2006,42,87,58,57,49.8,68.2,59,2.03,0,1.22,0
2005,46,74,57,59,51.5,64.8,58.1,6.95,0,1.98,0
2004,44,71,53,57,47.9,63.3,55.6,4.61,0,1.53,0
2003,45,76,56,58,50.9,65.2,58.1,3.78,0,2.15,0
2002,40,89,60,59,48.8,69,58.9,0.35,,0.35,
2001,41,84,57,51,47.4,60.9,54.2,7.3,,2,
2000,45,79,56,57,51.4,64.1,57.7,4.71,,1.18,
1999,37,77,56,57,48.5,64.4,56.5,0.5,,0.19,
1998,43,69,54,58,48.6,61.6,55.1,13.79,,3.1,
1997,46,80,60,60,50,67.3,58.7,0.05,0,0.04,0
1996,37,85,58,54,52,64.6,58.3,4.19,0,1.9,0
1995,49,90,62,59,54.1,69.2,61.6,0.62,0,0.26,0
1994,43,75,55,57,48.8,65.1,57,4.36,0,1.26,0
1993,44,74,57,58,50.4,63.6,57,5.48,0,2.42,0
1992,49,83,58,59,53.2,68.3,60.8,4.7,0,1.38,0
1991,46,81,58,60,51.9,67.8,59.8,2.53,0,1.6,0
1990,38,79,54,54,46.8,63.1,55,2.6,0,1.88,0
1989,35,84,56,52,47.1,62.5,54.8,1.72,0,0.97,0
1988,42,88,58,60,50.2,71,60.6,1.79,0,0.82,0
1987,39,84,60,57,49.6,67,58.3,0.64,0,0.3,0
1986,41,87,57,57,51.5,65.8,58.6,5.36,0,2.66,0
1985,39,85,58,54,48.5,64.6,56.6,1.91,0,0.86,0
1984,43,79,53,62,49.3,67.7,58.5,0.01,0,0.01,0
1983,45,74,55,56,50.4,64.3,57.4,5.64,0,2.35,0
1982,44,80,58,58,51.3,66.8,59.1,0.66,0,0.5,0
1981,43,85,63,59,51.6,69.5,60.6,1.58,0,0.53,0
1980,46,83,60,61,53.5,69,61.2,9.13,0,2.63,0
1979,38,69,53,49,46.8,61.6,54.2,2.53,0,0.59,0
1978,44,78,58,56,51.2,65.3,58.3,7.66,0,1.61,0
1977,44,88,57,56,50.5,70.7,60.6,0.26,0,0.18,0
1976,44,79,57,55,49.7,66,57.9,2.15,0,0.75,0
1975,40,69,55,57,48.4,62.7,55.6,3.21,0,1.07,0
1974,43,80,54,58,48.1,66.8,57.5,0.13,0,0.13,0
1973,45,78,57,59,51.4,65.6,58.5,4.87,0,1.76,0
1972,46,75,56,58,49.2,64.5,56.8,0.16,0,0.16,0
1971,41,86,56,57,48.9,64.5,56.7,0.36,0,0.22,0
1970,46,83,59,62,51.8,69.5,60.7,1.39,0,0.66,0
1969,42,73,54,54,48.2,59.6,53.9,3.76,0,0.89,0
1968,49,80,59,60,54.2,67.4,60.8,0.44,0,0.2,0
1967,44,84,57,61,49.2,69.9,59.5,0.05,0,0.05,0
1966,38,79,53,56,43.8,62.1,52.9,1.4,0,1.02,0
1965,37,83,52,55,45.9,64.6,55.2,0.34,0,0.2,0
1964,38,79,51,60,44.6,67.4,56,0,0,0,0
1963,49,92,58,57,53.5,68.7,61.1,4.48,0,2.5,0
1962,37,73,57,54,48.2,59.3,53.8,11.07,0,3.91,0
1961,44,79,55,62,48.2,67.5,57.8,0,0,0,0
1960,40,73,55,55,47.6,63,55.3,2.9,0,1.55,0
1959,44,76,55,56,48.5,66.1,57.3,3.72,0,1.45,0
1958,48,78,59,62,52.9,67.4,60.1,6.26,0,3.49,0
1957,41,85,61,58,52.4,65.9,59.2,1.94,0,0.99,0
1956,37,68,50,55,44.4,61,52.7,0.51,0,0.39,0
1955,38,81,55,57,44.9,65.5,55.2,0.88,0,0.31,0
1954,43,91,56,57,49.9,71.6,60.8,3.36,0,3.28,0
1953,36,86,54,52,45.9,69,57.4,0.1,0,0.09,0
1952,41,82,54,56,47.6,66.3,57,0.72,0,0.72,0
1951,38,73,53,54,44.8,62.4,53.6,0.54,0,0.48,0
1950,37,70,51,54,45.7,60.6,53.2,2.04,0,1.53,0
1949,34,72,52,53,43.2,59.5,51.4,1.55,0,0.65,0
1948,34,81,52,56,42.6,62.9,52.7,1,0,0.85,0
1947,42,80,54,58,47.3,66.5,56.9,0.44,0,0.4,0
1946,36,72,49,54,41.7,61.3,51.5,0.53,0,0.45,0
1945,38,77,56,53,46.5,63.1,54.8,2.74,0,0.91,0
