Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,47,90,66,60,55.7,73.3,64.5,0.49,0,0.25,0
2014,51,85,61,63,55.6,69.1,62.3,0.36,0,0.35,0
2013,48,82,57,58,53,65.3,59.2,0.66,0,0.59,0
2012,43,87,54,55,50.1,64.2,57.2,1.78,0,0.98,0
2011,44,83,58,56,51.5,64.5,58,4.04,0,2.36,0
2010,46,85,59,60,52.1,67.5,59.8,0.21,0,0.18,0
2009,46,77,57,58,51.4,64,57.7,0.05,0,0.04,0
2008,46,84,57,58,52.2,68,60.1,0.03,0,0.02,0
2007,45,86,59,58,52.7,67.2,60,0.09,0,0.08,0
2006,40,71,54,53,48.2,61.2,54.7,2.52,0,1.75,0
2005,47,74,57,58,52.5,64.6,58.6,1.08,0,0.82,0
2004,47,89,60,60,54,68,61,0.77,0,0.74,0
2003,46,88,61,58,51.9,66.4,59.2,1.66,0,1.49,0
2002,44,76,55,58,50.2,65.8,58,0.27,,0.11,
2001,45,75,58,59,52.6,63,57.8,1.29,,0.71,
2000,43,84,56,56,51.3,64.5,57.9,2.39,,1.14,
1999,43,70,54,55,49.2,62.1,55.7,2.12,,0.88,
1998,42,78,56,57,51.1,64.9,58,3.37,,1.39,
1997,45,87,57,59,52,67.7,59.9,0,,0,
1996,47,83,59,59,52.6,67.6,60.1,1.36,0,0.8,0
1995,44,76,59,57,53.1,67,60,5.67,0,1.89,0
1994,45,86,59,60,53.4,68,60.7,1.01,0,0.66,0
1993,46,83,59,60,53.4,67.5,60.5,1.83,0,1.04,0
1992,49,71,58,60,53.7,64.6,59.2,5.08,0,1.28,0
1991,40,71,55,54,48.5,61.4,55,3.96,0,0.72,0
1990,39,78,56,57,50.6,64.4,57.5,0.14,0,0.08,0
1989,43,82,58,55,51.7,66.1,58.9,0.86,0,0.5,0
1988,45,95,65,60,53.1,71.8,62.5,0.08,0,0.04,0
1987,44,86,59,55,50.8,67,58.9,0.92,0,0.4,0
1986,45,83,59,58,52.5,65.9,59.2,4.89,0,1.89,0
1985,43,73,54,55,48.7,61.7,55.2,0.72,0,0.3,0
1984,49,78,58,62,53.3,69.3,61.3,0.14,0,0.14,0
1983,46,70,58,58,51.7,63.8,57.8,6.37,0,2.55,0
1982,43,74,58,57,50.6,64.5,57.5,3.41,0,0.89,0
1981,46,74,56,56,51.8,64.3,58.1,3.24,0,0.93,0
1980,46,74,56,60,51.3,65.2,58.3,3.69,0,1.46,0
1979,41,84,57,58,50.5,64.4,57.5,4.74,0,1.61,0
1978,48,93,63,61,55.8,68.4,62.1,5.75,0,2.27,0
1977,40,75,55,53,47,65,56,1.23,0,0.52,0
1976,41,82,56,54,49.4,67.3,58.3,0.83,0,0.49,0
1975,43,70,56,54,49.8,61.6,55.7,2.98,0,0.64,0
1974,43,68,56,54,51,62.1,56.6,2.49,0,1,0
1973,43,68,53,56,48.6,62.3,55.5,2.42,0,0.75,0
1972,46,86,57,56,53.5,66.1,59.8,0,0,0,0
1971,39,77,56,58,49.8,63.7,56.8,0.23,0,0.23,0
1970,47,74,57,59,52.4,66.3,59.3,1.29,0,0.89,0
1969,40,80,58,55,49.4,63.4,56.4,0.42,0,0.23,0
1968,46,84,59,60,52.3,68.7,60.5,3.77,0,3.1,0
1967,44,76,58,58,52.8,65.7,59.3,1.47,0,0.38,0
1966,39,78,56,54,50.4,64.6,57.5,0.49,0,0.26,0
1965,45,75,55,57,50.1,64.8,57.4,1.63,0,1.03,0
1964,39,88,55,55,47.3,64.5,55.9,1.2,0,0.6,0
1963,41,74,53,57,48.2,64.9,56.6,2.42,0,1.13,0
1962,39,70,52,55,45.9,61.3,53.6,1.11,0,0.54,0
1961,45,80,52,56,49.4,64.3,56.8,0.46,0,0.36,0
1960,42,82,55,59,50.6,64.4,57.5,0.21,0,0.2,0
1959,51,88,58,68,53.9,74.1,64,0,0,0,0
1958,44,73,56,57,49.9,65.8,57.9,5.25,0,2.3,0
1957,46,80,57,57,52,67.7,59.9,0.95,0,0.38,0
1956,43,82,55,60,49.8,67.5,58.6,0,0,0,0
1955,42,87,56,60,49.5,68.9,59.2,0.15,0,0.14,0
1954,42,70,55,57,48.4,63,55.7,2.6,0,0.79,0
1953,38,80,54,57,47.6,65.3,56.6,0.44,0,0.28,0
1952,38,87,55,54,45.9,62.4,54.1,4.33,0,1.75,0
1951,38,86,55,54,46.9,66.8,57.3,0.38,0,0.32,0
1950,41,85,54,56,47.2,64.3,55.7,0.47,0,0.47,0
1949,42,65,52,55,46.6,61.9,54.3,1.44,0,0.51,0
1948,40,73,52,54,44.8,62.7,53.8,2.24,0,0.7,0
1947,43,85,56,60,49.9,67.5,58.8,1.02,0,0.36,0
1946,41,80,51,52,46.9,63.4,55.4,3.29,0,0.86,0
1945,35,85,53,52,43.9,62,53,3.21,0,0.55,0
