Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,45,89,60,62,52.4,72.1,62.2,0.06,0,0.03,0
2014,51,88,62,65,56.3,73.6,64.9,0.42,0,0.22,0
2013,50,90,62,63,55.8,72.4,64.1,0.69,0,0.31,0
2012,47,91,62,62,55.6,69.7,62.7,1.31,0,0.67,0
2011,44,84,59,54,51,67,59,1.69,0,0.98,0
2010,42,98,69,60,52.5,70.3,61.4,0.59,0,0.31,0
2009,48,83,60,63,52.5,70.6,61.5,0,0,0,0
2008,51,88,63,61,55.8,72.3,64,1.5,0,0.6,0
2007,49,87,62,59,55.4,67.6,61.5,0.5,0,0.5,0
2006,45,93,65,62,55.2,71.9,63.6,0.25,0,0.25,0
2005,48,88,61,64,54.8,72.8,63.8,0.47,0,0.39,0
2004,41,77,57,58,50.9,66.9,58.9,0.11,0,0.08,0
2003,43,84,61,59,51.5,67.7,59.6,0.8,,0.56,
2002,49,88,64,63,54.7,72.8,63.7,1.6,,0.93,
2001,44,78,62,57,53.7,67.5,60.6,1.34,,0.6,
2000,42,79,57,60,48.7,67.5,58.1,0,,0,
1999,47,81,59,63,53.6,67.5,60.5,0.28,,0.27,
1998,47,78,56,60,51.2,68.2,59.7,1.89,,1.3,
1997,48,96,66,59,54.9,71.4,63.2,2.66,,0.79,
1996,44,93,62,61,53.7,70.5,62.1,1.93,0,1.45,0
1995,50,82,61,64,55.4,70.3,62.8,0.1,0,0.1,0
1994,39,82,57,58,48.6,67.2,57.9,0.66,0,0.38,0
1993,47,91,60,65,54.3,72.8,63.6,0.93,0,0.41,0
1992,44,85,61,65,53.2,74.1,63.7,0,0,0,0
1991,45,86,59,62,53.5,73.2,63.4,0,0,0,0
1990,46,93,60,63,53.5,74.8,64.1,0.1,0,0.06,0
1989,46,90,61,66,54.6,75.6,65.1,0.38,0,0.38,0
1988,45,81,61,56,52.3,67.8,60.1,0.73,0,0.28,0
1987,45,84,62,62,53.3,70.4,61.8,0.6,0,0.23,0
1986,47,86,62,68,54.7,75.2,64.9,1.14,0,1.12,0
1985,43,81,59,56,51.4,65.8,58.6,4.75,0,1.69,0
1984,42,77,59,58,51.5,65.8,58.7,1.24,0,0.93,0
1983,41,82,62,59,53.9,68,61,2.74,0,0.84,0
1982,44,85,59,59,52.6,69.8,61.2,3.48,0,1.31,0
1981,46,89,59,57,54.1,70,62.1,2.63,0,1.56,0
1980,45,82,61,64,52.8,72,62.4,0,0,0,0
1979,44,81,56,63,51.5,70.6,61,0.22,0,0.13,0
1978,43,81,60,54,50.8,67.1,59,1.2,0,0.4,0
1977,48,91,61,62,54.4,75,64.7,0.04,0,0.04,0
1976,42,96,63,63,56.2,75.6,65.9,0.87,0,0.73,0
1975,41,89,62,58,50.9,70.2,60.6,0,0,0,0
1974,44,94,61,63,52.4,72.9,62.7,0,0,0,0
1973,44,77,59,59,51.9,67.1,59.5,1.92,0,0.98,0
1972,44,79,59,60,51.3,69.1,60.2,3.13,0,1.27,0
1971,44,86,58,59,51,67.4,59.2,0.22,0,0.14,0
1970,47,83,59,59,54.2,68.2,61.2,3.68,0,1.79,0
1969,44,84,64,61,54.4,74.1,64.2,1.37,0,1.26,0
1968,43,83,57,60,53.7,69.7,61.7,0.24,0,0.15,0
1967,45,85,63,61,57.6,70.7,64.2,7.47,0,5.6,0
1966,45,101,63,60,54.9,70.1,62.5,2.69,0,2.44,0
1965,42,74,62,60,54.1,66.9,60.5,6.38,0,2.12,0
1964,38,86,59,49,49.4,68.4,58.9,1.07,0,0.49,0
1963,45,84,61,62,52.9,70.6,61.7,2.76,0,0.81,0
1962,44,76,60,63,52.5,66.9,59.7,0.02,0,0.02,0
1961,43,87,56,56,49.7,68.4,59.1,1.88,0,0.96,0
1960,43,77,59,56,50.2,66.2,58.2,2.67,0,0.7,0
1959,46,89,61,64,53,77.2,65.1,0.06,0,0.04,0
1958,41,83,64,59,53.7,74.1,63.9,0,0,0,0
1957,42,80,61,63,50.8,69.3,60.1,0.46,0,0.32,0
1956,46,95,64,63,52.9,78.8,65.8,0,0,0,0
1955,44,83,59,59,50.7,68.3,59.5,1.35,0,0.65,0
1954,43,90,58,57,52.5,72.6,62.5,1.24,0,0.74,0
1953,42,90,60,59,51.9,70.8,61.4,1.23,0,1.05,0
1952,42,89,60,58,49,67.3,58.2,2.76,0,1.43,0
1951,43,86,57,62,51.1,70.8,60.8,0.71,0,0.38,0
1950,43,94,60,56,52.5,70.2,61.4,0.94,0,0.75,0
1949,43,92,60,61,52.3,73.7,63,1.46,0,0.91,0
1948,40,80,54,61,46.6,72.1,59.4,0,0,0,0
1947,38,72,54,60,46,67,56.4,0.03,0,0.02,0
1946,42,78,54,56,47.1,66.4,56.8,7.92,0,2.67,0
1945,39,91,56,58,46.1,68.1,56.8,0.18,0,0.12,0
