Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,60,99,74,71,66.8,81.2,74,0.1,0,0.08,0
2014,59,95,66,69,62.7,77.2,70,0.24,0,0.24,0
2013,52,91,64,65,58.3,73.1,65.7,0.02,0,0.02,0
2012,55,93,68,65,61.6,76.4,69,0.15,0,0.11,0
2011,52,92,67,62,58.1,70.9,64.5,0.63,0,0.61,0
2010,54,84,66,64,60.3,70.8,65.6,1.56,0,0.62,0
2009,51,91,63,65,57.8,72.2,65,1.3,0,1.09,0
2008,52,96,71,66,59.5,78.3,68.9,0,0,0,0
2007,54,94,69,63,58.6,73.9,66.3,0.64,0,0.35,0
2006,53,83,64,66,58.5,73.2,65.9,0,0,0,0
2005,53,95,65,62,57.6,72.4,65,1.01,0,0.46,0
2004,52,74,63,64,57.8,69.5,63.6,3.78,0,1.14,0
2003,54,91,64,64,60.5,74.3,67.4,0.71,0,0.71,0
2002,52,84,60,63,57.5,68,62.8,0.05,,0.05,
2001,56,80,64,66,59.6,70.7,65.2,0.04,,0.04,
2000,45,80,64,62,57.9,69.4,63.6,1.12,,0.59,
1999,50,95,63,64,59.2,76.9,68.1,0,,0,
1998,54,91,62,68,57.4,73.9,65.6,0,,0,
1997,52,97,68,70,60.2,76.9,68.5,0,,0,
1996,48,77,62,60,57.1,70.6,63.8,1.46,0,1.45,0
1995,51,93,64,63,60.1,74.5,67.3,0.01,0,0.01,0
1994,51,98,67,68,58.9,74.8,66.8,0.14,0,0.14,0
1993,56,90,65,70,60.5,76.3,68.4,0.09,0,0.06,0
1992,56,90,65,68,60.8,73.1,67,0.5,0,0.24,0
1991,48,95,66,66,60.1,74.5,67.3,0.06,0,0.06,0
1990,55,94,65,71,60.7,78.4,69.5,0,0,0,0
1989,50,89,63,68,58.4,73.3,65.8,0.34,0,0.3,0
1988,55,96,63,66,60.4,71.7,66,0,0,0,0
1987,57,103,71,65,62.3,75.6,69,1.74,0,1.13,0
1986,53,92,64,68,58.2,74.5,66.3,0.1,0,0.1,0
1985,55,95,69,65,59.7,74.5,67.1,0.36,0,0.28,0
1984,53,79,65,66,58.6,72.5,65.5,0.28,0,0.21,0
1983,58,92,67,69,62.5,76.5,69.5,0.94,0,0.49,0
1982,53,91,67,68,59.5,78.9,69.2,0.18,0,0.13,0
1981,51,93,64,66,57.8,72.7,65.2,0.4,0,0.36,0
1980,52,88,64,67,58.5,73.9,66.2,0,0,0,0
1979,49,79,65,66,59.2,72.9,66,0.31,0,0.22,0
1978,55,89,68,67,62.4,74.2,68.3,0.04,0,0.04,0
1977,52,83,65,68,59.5,72.9,66.2,0,0,0,0
1976,53,97,67,70,62.2,76.2,69.2,1.5,0,1.44,0
1975,49,86,65,66,57.5,73.4,65.4,0.24,0,0.15,0
1974,52,100,65,62,59.6,72.2,65.9,0.54,0,0.45,0
1973,53,91,60,66,56.7,74.6,65.7,0.08,0,0.04,0
1972,48,95,70,66,59.7,73,66.4,1.79,0,1.75,0
1971,43,101,71,60,55.4,74.6,65,0.28,0,0.21,0
1970,49,87,66,67,59.2,72.9,66,0.02,0,0.01,0
1969,52,88,64,65,58.3,73.9,66.1,0,0,0,0
1968,55,94,63,67,58.6,72,65.3,0.32,0,0.13,0
1967,54,97,64,68,59.9,77,68.5,0,0,0,0
1966,55,93,67,70,61.1,77.8,69.5,0.04,0,0.04,0
1965,50,101,70,67,59.5,79.4,69.4,0,0,0,0
1964,53,94,65,65,59.7,74.3,67,0.3,0,0.21,0
1963,55,82,69,69,60.8,74.9,67.9,0.42,0,0.42,0
1962,53,92,63,65,58.1,71.1,64.6,0.07,0,0.04,0
1961,46,106,76,65,57.1,74.2,65.7,0,0,0,0
1960,52,90,68,63,56.5,72.2,64.4,0,0,0,0
1959,54,91,66,67,60.8,75.6,68.2,0.01,0,0.01,0
1958,56,103,73,71,63.2,81.8,72.5,0.32,0,0.17,0
1957,53,87,65,66,58.4,73.9,66.1,1.27,0,0.59,0
1956,46,80,67,64,57.3,71.9,64.5,0.01,0,0.01,0
1955,52,88,59,61,55.5,68.9,62.2,0,0,0,0
1954,50,84,58,65,54.5,70.6,62.6,0,0,0,0
1953,48,101,64,67,54.9,75.5,65.2,0,0,0,0
1952,52,76,60,62,56.9,69.4,63.2,0,0,0,0
1951,49,96,61,66,56.7,74.9,65.8,0.23,0,0.19,0
1950,51,97,66,66,56.5,73.5,65,0.12,0,0.12,0
1949,45,91,62,62,53.8,71.5,62.6,0,0,0,0
1948,49,83,60,62,55.3,70.1,62.7,0.03,0,0.02,0
1947,49,81,60,67,54.5,72.7,63.5,0.08,0,0.05,0
1946,43,86,58,63,52,71.2,61.6,0.8,0,0.44,0
1945,49,97,62,65,57,72.1,64.5,0.46,0,0.24,0
